Manufacturer,Price,WeightOz,Rating,PricePerOz
Fancy Feast,23.64,48,4.4,0.4925
Fancy Feast,34.08,72,4.6,0.473333333
Fancy Feast,10.4,11,4.7,0.945454545
Fancy Feast,23.04,72,4.5,0.32
Fancy Feast,23.04,74,4.5,0.311351351
Fancy Feast,13.44,33.6,4.6,0.4
Chewy,10.99,66,3.8,0.166515152
Chewy,17.49,66,4.2,0.265
Chewy,3.99,12,4.3,0.3325
Chewy,34.18,72,4,0.474722222
Blue Buffalo,14.48,36,4,0.402222222
Blue Buffalo,22.56,36,4.7,0.626666667
Blue Buffalo,35.28,150,4.6,0.2352
Blue Buffalo,35.76,72,4.3,0.496666667
Blue Buffalo,35.52,72,4.3,0.493333333
Sheba,23.38,62.4,4.6,0.374679487
Sheba,28.32,62.4,4.6,0.453846154
Sheba,13.99,31.1,4.6,0.449839228
Sheba,18.96,15.6,4.8,1.215384615
Sheba,33.36,62.4,4.5,0.534615385
Applaws,47.99,59.28,3.9,0.809547908
Applaws,33.49,39.52,4.1,0.847419028
Applaws,25.69,29.64,4.3,0.866734143
Applaws,23.9,21.2,4.4,1.127358491
Sheba,28.32,63.36,4,0.446969697
Sheba,33.36,62.4,4.6,0.534615385
